trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
4539,05:37:00,05:37:00,215,1,,0,0,
4539,,,1066,2,,0,0,
4539,,,1067,3,,0,0,
4539,,,1068,4,,0,0,
4539,,,1070,5,,0,0,
4539,,,1071,6,,0,0,
4539,,,1072,7,,0,0,
4539,,,334,8,,0,0,
4539,,,214,9,,0,0,
4539,,,215,10,,0,0,
4539,,,217,11,,0,0,
4539,,,216,12,,0,0,
4539,,,218,13,,0,0,
4539,,,334,14,,0,0,
4539,05:41:00,05:41:00,56,15,,0,0,
4540,00:00:00,00:00:00,1052,1,,0,0,
4540,,,331,2,,0,0,
4540,,,1054,3,,0,0,
4540,,,1055,4,,0,0,
4540,,,5013,5,,0,0,
4540,,,1057,6,,0,0,
4540,,,1058,7,,0,0,
4540,,,1059,8,,0,0,
4540,,,1060,9,,0,0,
4540,,,1061,10,,0,0,
4540,,,1062,11,,0,0,
4540,,,5012,12,,0,0,
4540,,,332,13,,0,0,
4540,,,891,14,,0,0,
4540,,,892,15,,0,0,
4540,06:07:00,06:07:00,215,16,,0,0,
4540,,,1066,17,,0,0,
4540,,,1067,18,,0,0,
4540,,,1068,19,,0,0,
4540,,,1070,20,,0,0,
4540,,,1071,21,,0,0,
4540,,,1072,22,,0,0,
4540,,,334,23,,0,0,
4540,,,214,24,,0,0,
4540,,,215,25,,0,0,
4540,,,217,26,,0,0,
4540,,,216,27,,0,0,
4540,,,218,28,,0,0,
4540,,,334,29,,0,0,
4540,06:11:00,06:11:00,56,30,,0,0,
1916,06:20:00,06:20:00,84,1,,0,0,
1916,,,1052,2,,0,0,
1916,,,331,3,,0,0,
1916,06:23:00,06:23:00,1242,4,,0,0,
1916,,,1054,5,,0,0,
1916,,,1055,6,,0,0,
1916,,,5013,7,,0,0,
1916,,,1057,8,,0,0,
1916,,,1058,9,,0,0,
1916,,,1059,10,,0,0,
1916,,,1060,11,,0,0,
1916,,,1061,12,,0,0,
1916,,,1062,13,,0,0,
1916,,,5012,14,,0,0,
1916,,,332,15,,0,0,
1916,06:31:00,06:31:00,333,16,,0,0,
1916,,,891,17,,0,0,
1916,,,892,18,,0,0,
1916,06:36:00,06:36:00,215,19,,0,0,
1916,,,215,20,,0,0,
1916,,,217,21,,0,0,
1916,,,216,22,,0,0,
1916,,,218,23,,0,0,
1916,,,334,24,,0,0,
1916,06:40:00,06:40:00,56,25,,0,0,
1917,06:50:00,06:50:00,84,1,,0,0,
1917,,,1052,2,,0,0,
1917,,,331,3,,0,0,
1917,06:53:00,06:53:00,1242,4,,0,0,
1917,,,1054,5,,0,0,
1917,,,1055,6,,0,0,
1917,,,5013,7,,0,0,
1917,,,1057,8,,0,0,
1917,,,1058,9,,0,0,
1917,,,1059,10,,0,0,
1917,,,1060,11,,0,0,
1917,,,1061,12,,0,0,
1917,,,1062,13,,0,0,
1917,,,5012,14,,0,0,
1917,,,332,15,,0,0,
1917,07:01:00,07:01:00,333,16,,0,0,
1917,,,891,17,,0,0,
1917,,,892,18,,0,0,
1917,07:06:00,07:06:00,215,19,,0,0,
1917,,,215,20,,0,0,
1917,,,217,21,,0,0,
1917,,,216,22,,0,0,
1917,,,218,23,,0,0,
1917,,,334,24,,0,0,
1917,07:10:00,07:10:00,56,25,,0,0,
1918,07:20:00,07:20:00,84,1,,0,0,
1918,,,1052,2,,0,0,
