stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
3,"Alexandria Devonport-inbound","",38.048191,-84.552061,1,,0,
4,"Alexandria Drive @ 1944","",38.032565,-84.549207,1,,0,
6,"Anniston @ Augusta","",38.055847,-84.438045,1,,0,
7,"Appian Way @ Trent Blvd","",37.974022,-84.493967,1,,0,
8,"Centre Pkwy. @ Bold Bidder","",37.982735,-84.475207,1,,0,
9,"Broadway and Main - Outbound","",38.049067,-84.499471,1,,0,
10,"Broadway and Loudon - Outbound","",38.060349,-84.483377,1,,0,
11,"South Broadway 875 @ Red Mile","",38.039048,-84.515135,1,,0,
12,"Broadway S 900 @ Starbucks","",38.039207,-84.514465,1,,0,
13,"Broadway and Loudon - Inbound","",38.060018,-84.484170,1,,0,
14,"Broadway and Main - Inbound","",38.049137,-84.499806,1,,0,
15,"Buena Vista Road @ Elkhorn Road","",38.042130,-84.424127,1,,0,
17,"Centre Parkway @ Appian Way","",37.980932,-84.482337,1,,0,
19,"Pennebaker Costigan","",38.091738,-84.480078,1,,0,
20,"Liberty Rd. Post Office","",38.028164,-84.453844,1,,0,
22,"St. Joseph Hospital East","",37.999225,-84.441771,1,,0,
23,"Eastland Pkwy New Circle @ Continental I","",38.045890,-84.452862,1,,0,
24,"Eastland Center","",38.044779,-84.458556,1,,0,
25,"Erie Road @ 485","",38.072997,-84.511688,1,,0,
26,"Rose Euclid","",38.037655,-84.499662,1,,0,
27,"Fayette Mall","",37.989276,-84.526770,1,,0,
29,"Richmond Fontaine","",38.017540,-84.467442,1,,0,
30,"Forbes  Rd. @ Old Frankfort Rd.","",38.057758,-84.524209,1,,0,
33,"4th Race","",38.045442,-84.484558,1,,0,
35,"Harrodsburg Road @ Turfland Mall Inbound","",38.025377,-84.536448,1,,0,
36,"Harrodsburg Road @ Beaumont Centre","",38.013303,-84.555447,1,,0,
37,"Harrodsburg Road @ Corporate Center","",38.013544,-84.554257,1,,0,
38,"Jefferson St @ Tower Plaza","",38.053416,-84.500935,1,,0,
39,"Alexandria @ Lane Allen","",38.031544,-84.548221,1,,0,
40,"Hollow Creek LaSalle","",38.078755,-84.480773,1,,0,
41,"LaSalle Hollow Creek","",38.077821,-84.482262,1,,0,
42,"VA Medical Center","",38.074489,-84.537097,1,,0,
43,"Lexington Green","",37.993072,-84.524254,1,,0,
44,"Liberty Road @ Winchester Road","",38.041429,-84.469403,1,,0,
45,"Kentucky Clinic - Inbound","",38.033824,-84.508579,1,,0,
46,"Limestone @ Fourth 350","",38.050856,-84.490566,1,,0,
47,"Limestone @ Loudon 814","",38.057657,-84.480886,1,,0,
48,"Kentucky Clinic - Outbound","",38.032900,-84.509217,1,,0,
50,"Limestone Street @ Loudon Avenue","",38.057433,-84.481481,1,,0,
51,"Limestone @ New Circle old K-Mart","",38.064298,-84.471651,1,,0,
52,"Limestone Virginia Avenue","",38.035352,-84.508258,1,,0,
53,"Locust Hill @ Wal-Mart","",38.001574,-84.449689,1,,0,
54,"Locust Hill @ Man-o-War Center/Kroger","",38.004380,-84.445123,1,,0,
55,"Locust Hill Drive @ WalMart","",38.001316,-84.451003,1,,0,
56,"Man 'O War Darby Creek","",38.007005,-84.431900,1,,0,
58,"Martin Luther King Blvd @ Third Street","",38.047882,-84.491032,1,,0,
59,"Mercer Rd. @ Georgetown Rd.","",38.076304,-84.507393,1,,0,
63,"Lexmark","",38.071451,-84.496751,1,,0,
64,"Lexmark","",38.071440,-84.496265,1,,0,
65,"Nicholasville and Southland","",38.010516,-84.517152,1,,0,
66,"Nicholasville Rd./Southland @ 2130","",38.009985,-84.516921,1,,0,
67,"South Park","",37.992998,-84.522700,1,,0,
68,"Oakwood Boxwood","",38.084676,-84.505771,1,,0,
69,"Palomar Centre","",38.003444,-84.571190,1,,0,
71,"University Commons - Outbound","",38.042635,-84.523857,1,,0,
72,"University Commons - Inbound","",38.044147,-84.523876,1,,0,
73,"Redwood Dr. @ 1029 Biarwood Dr.","",38.081680,-84.500648,1,,0,
74,"Trent & River Park","",37.970521,-84.480751,0,,0,
77,"Shropshire Avenue @ 723","",38.050296,-84.476570,1,,0,
80,"Richmond Road St. Ann","",38.018344,-84.464049,1,,0,
81,"Stanton Way @ Shell Service Station","",38.102444,-84.483860,1,,0,
82,"Cooper Tates Creek","",38.022334,-84.492845,1,,0,
83,"Tates Creek Rd. @ Cooper Inbound","",38.021488,-84.492898,1,,0,
84,"Transit Center","",38.044255,-84.496933,1,,0,
85,"Transit Center (Bay 2)","",38.043845,-84.496480,1,,0,
88,"Transit Center (Bay 4)","",38.044373,-84.497051,1,,0,
97,"Turfland Mall Harrodsburg Rd.","",38.025311,-84.537679,1,,0,
99,"Versailles Rd. @ Forbes","",38.049931,-84.522967,1,,0,
103,"Whipple Court","",38.080806,-84.503762,1,,0,
